Category,Monthly Allowance (NGN),Planned (NGN),Actual (NGN),Difference (NGN)
Food & groceries,15000,,,
Transport (shuttle/keke),5000,,,
Data & airtime,5000,,,
Academic materials,4000,,,
Personal care,3000,,,
Social & events,3000,,,
Savings & investing (pay yourself first!),10000,,,
Total,45000,,,

Rule of thumb: the student 50/30/20 split — 50% needs, 30% wants, 20% future.
Move the 20% the day your allowance drops, not at month-end.
Example for a ₦50,000 monthly allowance: needs ₦25,000 · wants ₦15,000 · future ₦10,000.
